Rank   | Team Name                           | Total Score
-----------------------------------------------------------------
1      | 'Neomix'                            | 8397504.0
2      | 'Code Blooded'                      | 7823963.0
3      | 'DataPulse'                         | 7813882.0
4      | 'AI-ght Bet'                        | 7709275.0
5      | 'Hack Hounds'                       | 7534266.0
6      | null.isLoser();                     | 6954522.0
7      | 'Halaal Injera'                     | 6608921.0
8      | 'Nova Tech'                         | 6200585.0
9      | 'JammyDodger'                       | 6182285.0
10     | 'OpenClause'                        | 6147215.0
11     | 'OROS GANG'                         | 6123533.0
12     | 'CO coders'                         | 6120487.0
13     | 'AlgoRhythms'                       | 6076613.0
14     | 'Binary Brothers'                   | 5991163.0
15     | Off-By-One                          | 5584081.0
16     | 'The Engineers'                     | 5426490.0
17     | PCS                                 | 5401917.0
18     | 'Ctrl Alt Defeat'                   | 5302508.0
19     | RGT squad                           | 5215855.0
20     | 'team_name.py'                      | 5045898.0
21     | 'Valgrind'                          | 4999567.0
22     | 'Six7'                              | 4987004.0
23     | 'Bots'                              | 4880569.0
24     | 'TemporaryName2026'                 | 4692907.0
25     | 'JuveniQ'                           | 4652032.0
26     | Ironclad AI                         | 4651796.0
27     | 'Cache Me If You Can'               | 4567670.0
28     | 'chmod 777'                         | 4547441.0
29     | 'Kryptic code'                      | 4461002.0
30     | 'Coding on Vibes'                   | 4425740.0
31     | 'Full-Stack Attack '                | 4360039.0
32     | 'Bebugging Masters'                 | 4315377.0
33     | 'The sudo team'                     | 4246015.0
34     | 'coding for soup'                   | 4028539.0
35     | 'Carthago delenda est'              | 3932199.0
36     | 'The Algorithm Alliance'            | 3930767.0
37     | Array of Sunshine                   | 3920630.0
38     | 'Incredible Connection'             | 3918226.0
39     | 'Potential Men'                     | 3690315.0
40     | 'uniqwa coder team'                 | 3658522.0
41     | 'Tempest'                           | 3605845.0
42     | 'DevSupport'                        | 3447973.0
43     | 'Git Merchants'                     | 3426631.0
44     | '404 Avengers'                      | 3351715.0
45     | 'Code of Duty'                      | 3316516.0
46     | 'LossFunction:Self'                 | 3289790.0
47     | 'Bonang'                            | 3205459.0
48     | 'MagMon'                            | 3203233.0
49     | 'DevRift'                           | 3150473.0
50     | 'npm install confidence '           | 3129373.0
51     | 'Undefined Behaviour'               | 3106694.0
52     | '404ErrorFixers'                    | 3078592.0
53     | 'Buzuziano'                         | 3045205.0
54     | 'O(n!^n!)'                          | 2983531.0
55     | 'Hacka-buddies'                     | 2914694.0
56     | 'Max-ed Algo'                       | 2654295.0
57     | 'Paprika'                           | 2640766.0
58     | group 10                            | 2544786.0
59     | 'Stack Underflow'                   | 2517904.0
60     | 'Young & Turnt”                     | 2462430.0
61     | 'TELECT'                            | 2459081.0
62     | 'NextPhase'                         | 2321330.0
63     | 'TN '                               | 2172435.0
64     | 'CodeStorm'                         | 2128469.0
65     | Segfault Syndicate // Dude’s on Code | 1826559.0
66     | 'Coderz'                            | 1824819.0
67     | 'Cipherions'                        | 1796449.0
68     | 'Hack to the Max'                   | 1793597.0
69     | 'Zero Latency '                     | 1788909.0
70     | 'Dual-Core'                         | 1759361.0
71     | 'Xero'                              | 1701711.0
72     | 'TheAnointedCoders'                 | 1631048.0
73     | 'cvBooster'                         | 1579653.0
74     | 'Team 404'                          | 1574647.0
75     | 'Go hard or Go Home'                | 1530781.0
76     | Cache Money                         | 1493819.0
77     | 'ALTF4'                             | 1478141.0
78     | 'DeathStar'                         | 1291457.0
79     | 'UNI-UNO-TRIO'                      | 1224653.0
